"batch_id","run_id","jcm","ccrs_mode","file","line","action_type","target","outcome"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2511","move_attempt","http://127.0.1.1:8080/cells/19/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2512","move_post","http://127.0.1.1:8080/cells/19/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2513","move","http://127.0.1.1:8080/cells/19/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2526","move_attempt","http://127.0.1.1:8080/cells/20/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2527","move_post","http://127.0.1.1:8080/cells/20/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2528","move","http://127.0.1.1:8080/cells/20/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2541","move_attempt","http://127.0.1.1:8080/cells/21/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2542","move_post","http://127.0.1.1:8080/cells/21/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2543","move","http://127.0.1.1:8080/cells/21/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2560","move_attempt","http://127.0.1.1:8080/cells/21/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2561","move_post","http://127.0.1.1:8080/cells/21/10","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2562","move","http://127.0.1.1:8080/cells/21/10","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2572","backtrack","http://127.0.1.1:8080/cells/21/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2573","move_attempt","http://127.0.1.1:8080/cells/21/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2574","move_post","http://127.0.1.1:8080/cells/21/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2575","move","http://127.0.1.1:8080/cells/21/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2591","move_attempt","http://127.0.1.1:8080/cells/22/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2592","move_post","http://127.0.1.1:8080/cells/22/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2593","move","http://127.0.1.1:8080/cells/22/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2606","move_attempt","http://127.0.1.1:8080/cells/23/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2607","move_post","http://127.0.1.1:8080/cells/23/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2608","move","http://127.0.1.1:8080/cells/23/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2623","move_attempt","http://127.0.1.1:8080/cells/23/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2624","move_post","http://127.0.1.1:8080/cells/23/10","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2625","move","http://127.0.1.1:8080/cells/23/10","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2638","move_attempt","http://127.0.1.1:8080/cells/24/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2639","move_post","http://127.0.1.1:8080/cells/24/10","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2640","move","http://127.0.1.1:8080/cells/24/10","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2653","move_attempt","http://127.0.1.1:8080/cells/25/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2654","move_post","http://127.0.1.1:8080/cells/25/10","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2655","move","http://127.0.1.1:8080/cells/25/10","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2668","move_attempt","http://127.0.1.1:8080/cells/26/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2669","move_post","http://127.0.1.1:8080/cells/26/10","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2670","move","http://127.0.1.1:8080/cells/26/10","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2685","move_attempt","http://127.0.1.1:8080/cells/26/11","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2686","move_post","http://127.0.1.1:8080/cells/26/11","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2687","move","http://127.0.1.1:8080/cells/26/11","success"
