"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4942","run-2026-05-24T10-59-10-998Z","6402742","unknown","TRANSACTION","1779620482554","1779620482574",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/10","2474","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4943","run-2026-05-24T10-59-10-998Z","6402743","unknown","AGENT_MOVED","1779620482671","1779620482691",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4944","run-2026-05-24T10-59-10-998Z","6402744","unknown","TRANSACTION","1779620482672","1779620482691",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/9","2475","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4945","run-2026-05-24T10-59-10-998Z","6402745","unknown","AGENT_MOVED","1779620482797","1779620482809",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/3/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4946","run-2026-05-24T10-59-10-998Z","6402746","unknown","TRANSACTION","1779620482800","1779620482809",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/3/9","2476","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4947","run-2026-05-24T10-59-10-998Z","6402747","unknown","AGENT_MOVED","1779620482934","1779620482944",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/4/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4948","run-2026-05-24T10-59-10-998Z","6402748","unknown","TRANSACTION","1779620482935","1779620482944",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/4/9","2477","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4949","run-2026-05-24T10-59-10-998Z","6402749","unknown","AGENT_MOVED","1779620483060","1779620483074",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/5/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4950","run-2026-05-24T10-59-10-998Z","6402750","unknown","TRANSACTION","1779620483061","1779620483074",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/5/9","2478","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4951","run-2026-05-24T10-59-10-998Z","6402751","unknown","AGENT_MOVED","1779620483177","1779620483190",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/6/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4952","run-2026-05-24T10-59-10-998Z","6402752","unknown","TRANSACTION","1779620483179","1779620483190",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/6/9","2479","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4953","run-2026-05-24T10-59-10-998Z","6402753","unknown","AGENT_MOVED","1779620483309","1779620483329",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/7/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4954","run-2026-05-24T10-59-10-998Z","6402754","unknown","TRANSACTION","1779620483312","1779620483329",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/7/9","2480","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4955","run-2026-05-24T10-59-10-998Z","6402755","unknown","AGENT_MOVED","1779620483449","1779620483457",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/7/10",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4956","run-2026-05-24T10-59-10-998Z","6402756","unknown","TRANSACTION","1779620483450","1779620483457",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/7/10","2481","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4957","run-2026-05-24T10-59-10-998Z","6402757","unknown","AGENT_MOVED","1779620483573","1779620483593",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/7/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4958","run-2026-05-24T10-59-10-998Z","6402758","unknown","TRANSACTION","1779620483574","1779620483593",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/7/11","2482","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4959","run-2026-05-24T10-59-10-998Z","6402759","unknown","AGENT_MOVED","1779620483686","1779620483711",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/6/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4960","run-2026-05-24T10-59-10-998Z","6402760","unknown","TRANSACTION","1779620483687","1779620483711",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/6/11","2483","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4961","run-2026-05-24T10-59-10-998Z","6402761","unknown","AGENT_MOVED","1779620483814","1779620483827",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/5/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4962","run-2026-05-24T10-59-10-998Z","6402762","unknown","TRANSACTION","1779620483816","1779620483827",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/5/11","2484","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4963","run-2026-05-24T10-59-10-998Z","6402763","unknown","AGENT_MOVED","1779620483934","1779620483940",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/4/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4964","run-2026-05-24T10-59-10-998Z","6402764","unknown","TRANSACTION","1779620483943","1779620483955",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/4/11","2485","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4965","run-2026-05-24T10-59-10-998Z","6402765","unknown","AGENT_MOVED","1779620484044","1779620484060",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/5/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4966","run-2026-05-24T10-59-10-998Z","6402766","unknown","TRANSACTION","1779620484045","1779620484060",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/5/11","2486","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4967","run-2026-05-24T10-59-10-998Z","6402767","unknown","AGENT_MOVED","1779620484171","1779620484198",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/6/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4968","run-2026-05-24T10-59-10-998Z","6402768","unknown","TRANSACTION","1779620484173","1779620484198",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/6/11","2487","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4969","run-2026-05-24T10-59-10-998Z","6402769","unknown","AGENT_MOVED","1779620484309","1779620484324",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/7/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4970","run-2026-05-24T10-59-10-998Z","6402770","unknown","TRANSACTION","1779620484310","1779620484324",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/7/11","2488","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4971","run-2026-05-24T10-59-10-998Z","6402771","unknown","AGENT_MOVED","1779620484438","1779620484461",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/7/12",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4972","run-2026-05-24T10-59-10-998Z","6402772","unknown","TRANSACTION","1779620484439","1779620484461",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/7/12","2489","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4973","run-2026-05-24T10-59-10-998Z","6402773","unknown","AGENT_MOVED","1779620484559","1779620484575",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/8/12",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4974","run-2026-05-24T10-59-10-998Z","6402774","unknown","TRANSACTION","1779620484561","1779620484575",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/8/12","2490","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4975","run-2026-05-24T10-59-10-998Z","6402775","unknown","AGENT_MOVED","1779620484675","1779620484693",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/8/13",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4976","run-2026-05-24T10-59-10-998Z","6402776","unknown","TRANSACTION","1779620484676","1779620484693",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/8/13","2491","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4977","run-2026-05-24T10-59-10-998Z","6402777","unknown","AGENT_MOVED","1779620484803","1779620484827",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/8/14",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4978","run-2026-05-24T10-59-10-998Z","6402778","unknown","TRANSACTION","1779620484806","1779620484827",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/8/14","2492","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4979","run-2026-05-24T10-59-10-998Z","6402779","unknown","AGENT_MOVED","1779620484921","1779620484942",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/7/14",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4980","run-2026-05-24T10-59-10-998Z","6402780","unknown","TRANSACTION","1779620484922","1779620484942",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/7/14","2493","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4981","run-2026-05-24T10-59-10-998Z","6402781","unknown","AGENT_MOVED","1779620485047","1779620485058",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/6/14",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4982","run-2026-05-24T10-59-10-998Z","6402782","unknown","TRANSACTION","1779620485048","1779620485058",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/6/14","2494","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4983","run-2026-05-24T10-59-10-998Z","6402783","unknown","AGENT_MOVED","1779620485168","1779620485173",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/5/14",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4984","run-2026-05-24T10-59-10-998Z","6402784","unknown","TRANSACTION","1779620485176","1779620485189",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/5/14","2495","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4985","run-2026-05-24T10-59-10-998Z","6402785","unknown","AGENT_MOVED","1779620485300","1779620485306",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/5/13",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4986","run-2026-05-24T10-59-10-998Z","6402786","unknown","TRANSACTION","1779620485301","1779620485306",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/5/13","2496","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4987","run-2026-05-24T10-59-10-998Z","6402787","unknown","AGENT_MOVED","1779620485423","1779620485443",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/5/14",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4988","run-2026-05-24T10-59-10-998Z","6402788","unknown","TRANSACTION","1779620485424","1779620485443",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/5/14","2497","POST","COMMITTED"
