"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4933","run-2026-05-24T11-02-24-828Z","6408366","unknown","AGENT_MOVED","1779620791567","1779620791583",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/13/5",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4934","run-2026-05-24T11-02-24-828Z","6408367","unknown","TRANSACTION","1779620791567","1779620791583",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/13/5","5288","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4935","run-2026-05-24T11-02-24-828Z","6408368","unknown","AGENT_MOVED","1779620791699","1779620791717",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/14/5",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4936","run-2026-05-24T11-02-24-828Z","6408369","unknown","TRANSACTION","1779620791700","1779620791717",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/14/5","5289","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4937","run-2026-05-24T11-02-24-828Z","6408370","unknown","AGENT_MOVED","1779620791824","1779620791831",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/15/5",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4938","run-2026-05-24T11-02-24-828Z","6408371","unknown","TRANSACTION","1779620791834","1779620791847",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/15/5","5290","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4939","run-2026-05-24T11-02-24-828Z","6408372","unknown","AGENT_MOVED","1779620791954","1779620791965",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/15/6",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4940","run-2026-05-24T11-02-24-828Z","6408373","unknown","TRANSACTION","1779620791955","1779620791965",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/15/6","5291","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4941","run-2026-05-24T11-02-24-828Z","6408374","unknown","AGENT_MOVED","1779620792082","1779620792101",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/15/7",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4942","run-2026-05-24T11-02-24-828Z","6408375","unknown","TRANSACTION","1779620792083","1779620792101",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/15/7","5292","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4943","run-2026-05-24T11-02-24-828Z","6408376","unknown","AGENT_MOVED","1779620792205","1779620792217",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/15/8",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4944","run-2026-05-24T11-02-24-828Z","6408377","unknown","TRANSACTION","1779620792206","1779620792217",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/15/8","5293","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4945","run-2026-05-24T11-02-24-828Z","6408378","unknown","AGENT_MOVED","1779620792330","1779620792350",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/16/8",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4946","run-2026-05-24T11-02-24-828Z","6408379","unknown","TRANSACTION","1779620792330","1779620792350",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/16/8","5294","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4947","run-2026-05-24T11-02-24-828Z","6408380","unknown","AGENT_MOVED","1779620792460","1779620792485",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/17/8",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4948","run-2026-05-24T11-02-24-828Z","6408381","unknown","TRANSACTION","1779620792461","1779620792485",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/17/8","5295","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4949","run-2026-05-24T11-02-24-828Z","6408382","unknown","AGENT_MOVED","1779620792595","1779620792617",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/18/8",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4950","run-2026-05-24T11-02-24-828Z","6408383","unknown","TRANSACTION","1779620792595","1779620792617",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/18/8","5296","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4951","run-2026-05-24T11-02-24-828Z","6408384","unknown","AGENT_MOVED","1779620792711","1779620792734",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/18/9",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4952","run-2026-05-24T11-02-24-828Z","6408385","unknown","TRANSACTION","1779620792711","1779620792734",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/18/9","5297","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4953","run-2026-05-24T11-02-24-828Z","6408386","unknown","AGENT_MOVED","1779620792837","1779620792848",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/19/9",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4954","run-2026-05-24T11-02-24-828Z","6408387","unknown","TRANSACTION","1779620792837","1779620792848",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/19/9","5298","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4955","run-2026-05-24T11-02-24-828Z","6408388","unknown","AGENT_MOVED","1779620792972","1779620792983",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/20/9",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4956","run-2026-05-24T11-02-24-828Z","6408389","unknown","TRANSACTION","1779620792972","1779620792983",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/20/9","5299","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4957","run-2026-05-24T11-02-24-828Z","6408390","unknown","AGENT_MOVED","1779620793089","1779620793100",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/21/9",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4958","run-2026-05-24T11-02-24-828Z","6408391","unknown","TRANSACTION","1779620793089","1779620793100",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/21/9","5300","POST","COMMITTED"
