"batch_id","run_id","jcm","ccrs_mode","agent_label","step","file","line","sequence","timestamp_ms","duration_ms","previous_cell","cell","opp_ccrs_detected_count","contingency_ccrs_invocation_count"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","71","mas-0.log","2498","2498","51105951","134","http://127.0.1.1:8080/cells/37/30","http://127.0.1.1:8080/cells/37/31","3","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","72","mas-0.log","2524","2524","51106065","114","http://127.0.1.1:8080/cells/37/31","http://127.0.1.1:8080/cells/36/31","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","73","mas-0.log","2549","2549","51106189","124","http://127.0.1.1:8080/cells/36/31","http://127.0.1.1:8080/cells/35/31","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","74","mas-0.log","2573","2573","51106319","130","http://127.0.1.1:8080/cells/35/31","http://127.0.1.1:8080/cells/35/30","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","75","mas-0.log","2597","2597","51106443","124","http://127.0.1.1:8080/cells/35/30","http://127.0.1.1:8080/cells/35/29","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","76","mas-0.log","2621","2621","51106572","129","http://127.0.1.1:8080/cells/35/29","http://127.0.1.1:8080/cells/35/28","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","77","mas-0.log","2648","2648","51106688","116","http://127.0.1.1:8080/cells/35/28","http://127.0.1.1:8080/cells/35/27","3","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","78","mas-0.log","2673","2673","51106836","148","http://127.0.1.1:8080/cells/35/27","http://127.0.1.1:8080/cells/34/27","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","79","mas-0.log","2697","2697","51106963","127","http://127.0.1.1:8080/cells/34/27","http://127.0.1.1:8080/cells/33/27","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","80","mas-0.log","2721","2721","51107084","121","http://127.0.1.1:8080/cells/33/27","http://127.0.1.1:8080/cells/33/26","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","81","mas-0.log","2745","2745","51107213","129","http://127.0.1.1:8080/cells/33/26","http://127.0.1.1:8080/cells/33/25","2","0"
